colegio;PRODUCTO;TALLA;VALOR AÑO PRESENTE;ID_BUSQUEDA;2022;2023;2024;2025;2026;2027;2028;2029
liceo pupo jimenez;camiseta fisica;16;49000;liceo pupo jimenez_camiseta fisica_16;35000;39000;43000;43000;49000;54000;60000;66000
liceo pupo jimenez;camiseta fisica;S;53000;liceo pupo jimenez_camiseta fisica_S;37000;42000;47040;47000;53000;59000;65000;72000
liceo pupo jimenez;camiseta fisica;M;53000;liceo pupo jimenez_camiseta fisica_M;37000;42000;47040;47000;53000;59000;65000;72000
liceo pupo jimenez;camiseta fisica;L;56000;liceo pupo jimenez_camiseta fisica_L;39000;45000;50000;50000;56000;62000;69000;76000
liceo pupo jimenez;camiseta fisica;XL;56000;liceo pupo jimenez_camiseta fisica_XL;39000;;50000;50000;56000;62000;69000;76000
liceo pupo jimenez;bombacho;2;48000;liceo pupo jimenez_bombacho_2;32000;38000;42000;42000;48000;53000;59000;65000
liceo pupo jimenez;bombacho;4;48000;liceo pupo jimenez_bombacho_4;32000;38000;42000;42000;48000;53000;59000;65000
liceo pupo jimenez;bombacho;6;48000;liceo pupo jimenez_bombacho_6;34000;38000;42000;42000;48000;53000;59000;65000
liceo pupo jimenez;bombacho;8;48000;liceo pupo jimenez_bombacho_8;34000;38000;38000;42000;48000;53000;59000;65000
liceo pupo jimenez;bombacho;10;50000;liceo pupo jimenez_bombacho_10;35000;40000;44000;44000;50000;55000;61000;68000
liceo pupo jimenez;bombacho;12;50000;liceo pupo jimenez_bombacho_12;35000;40000;44800;44000;50000;55000;61000;68000
liceo pupo jimenez;bombacho;14;54000;liceo pupo jimenez_bombacho_14;36000;43000;48000;48000;54000;60000;66000;73000
liceo pupo jimenez;bombacho;16;54000;liceo pupo jimenez_bombacho_16;36000;43000;48000;48000;54000;60000;66000;73000
liceo pupo jimenez;bombacho;S;56000;liceo pupo jimenez_bombacho_S;37000;45000;50400;50000;56000;62000;69000;76000
liceo pupo jimenez;bombacho;M;56000;liceo pupo jimenez_bombacho_M;37000;45000;50000;50000;56000;62000;69000;76000
liceo pupo jimenez;bombacho;L;59000;liceo pupo jimenez_bombacho_L;38000;45000;52000;52000;59000;65000;72000;80000
liceo pupo jimenez;bombacho;XL;59000;liceo pupo jimenez_bombacho_XL;38000;;52000;52000;59000;65000;72000;80000
liceo pupo jimenez;Medias;2;16000;liceo pupo jimenez_Medias_2;;;10000;14000;16000;18000;20000;22000
liceo pupo jimenez;Medias;4;16000;liceo pupo jimenez_Medias_4;12000;12000;10000;14000;16000;18000;20000;22000
liceo pupo jimenez;Medias;6;16000;liceo pupo jimenez_Medias_6;12000;12000;10000;14000;16000;18000;20000;22000
liceo pupo jimenez;Medias;8;16000;liceo pupo jimenez_Medias_8;12000;12000;10000;14000;16000;18000;20000;22000
liceo pupo jimenez;Medias;10;16000;liceo pupo jimenez_Medias_10;12000;12000;13000;14000;16000;18000;20000;22000
liceo universitario;blusa;2;41000;liceo universitario_blusa_2;;;;36000;41000;46000;51000;57000
liceo universitario;blusa;4;41000;liceo universitario_blusa_4;;33000;;36000;41000;46000;51000;57000
liceo universitario;blusa;6;41000;liceo universitario_blusa_6;;33000;36000;36000;41000;46000;51000;57000
liceo universitario;blusa;8;41000;liceo universitario_blusa_8;29000;33000;36000;36000;41000;46000;51000;57000
liceo universitario;blusa;10;44000;liceo universitario_blusa_10;31000;35000;39000;39000;44000;49000;54000;60000
liceo universitario;blusa;12;44000;liceo universitario_blusa_12;31000;35000;35000;39000;44000;49000;54000;60000
liceo universitario;blusa;14;46000;liceo universitario_blusa_14;32000;37000;41000;41000;46000;51000;57000;63000
liceo universitario;blusa;16;46000;liceo universitario_blusa_16;32000;37000;41000;41000;46000;51000;57000;63000
liceo universitario;blusa;S;49000;liceo universitario_blusa_S;35000;39000;43000;43000;49000;54000;60000;66000
liceo universitario;blusa;M;49000;liceo universitario_blusa_M;35000;39000;40000;43000;49000;54000;60000;66000
liceo universitario;blusa;L;53000;liceo universitario_blusa_L;37000;42000;47000;47000;53000;59000;65000;72000
liceo universitario;blusa;XL;53000;liceo universitario_blusa_XL;;42000;;47000;53000;59000;65000;72000
liceo universitario;falda;2;88000;liceo universitario_falda_2;59000;;;78000;88000;97000;107000;118000
liceo universitario;falda;4;88000;liceo universitario_falda_4;;;;78000;88000;97000;107000;118000
liceo universitario;falda;6;88000;liceo universitario_falda_6;;;;78000;88000;97000;107000;118000
liceo universitario;falda;8;88000;liceo universitario_falda_8;;70000;;78000;88000;97000;107000;118000
liceo universitario;falda;10;95000;liceo universitario_falda_10;63000;26000;;84000;95000;105000;116000;128000
liceo universitario;falda;12;95000;liceo universitario_falda_12;;75000;75000;84000;95000;105000;116000;128000
liceo universitario;falda;14;100000;liceo universitario_falda_14;68000;50000;89000;89000;100000;110000;121000;134000
liceo universitario;falda;16;100000;liceo universitario_falda_16;68000;80000;40000;89000;100000;110000;121000;134000
liceo universitario;falda;S;106000;liceo universitario_falda_S;73000;84000;30000;94000;106000;117000;129000;142000
liceo universitario;falda;M;106000;liceo universitario_falda_M;;84000;30000;94000;106000;117000;129000;142000
liceo universitario;falda;L;112000;liceo universitario_falda_L;;90000;;100000;112000;124000;137000;151000
liceo universitario;falda;XL;112000;liceo universitario_falda_XL;;;;100000;112000;124000;137000;151000
liceo universitario;guayabera;2;55000;liceo universitario_guayabera_2;;;;49000;55000;61000;68000;75000
liceo universitario;guayabera;4;55000;liceo universitario_guayabera_4;;;;49000;55000;61000;68000;75000
liceo universitario;guayabera;6;55000;liceo universitario_guayabera_6;43000;;51520;49000;55000;61000;68000;75000
liceo universitario;guayabera;8;56000;liceo universitario_guayabera_8;43000;48000;53000;50000;56000;62000;69000;76000
liceo universitario;guayabera;10;56000;liceo universitario_guayabera_10;45000;48000;53000;50000;56000;62000;69000;76000
liceo universitario;guayabera;12;60000;liceo universitario_guayabera_12;45000;48000;53000;53000;60000;66000;73000;81000
liceo universitario;guayabera;14;60000;liceo universitario_guayabera_14;48000;50000;48000;53000;60000;66000;73000;81000
liceo universitario;guayabera;16;60000;liceo universitario_guayabera_16;48000;50000;50000;53000;60000;66000;73000;81000
liceo universitario;guayabera;S;62000;liceo universitario_guayabera_S;52000;56000;50000;55000;62000;69000;76000;84000
liceo universitario;guayabera;M;62000;liceo universitario_guayabera_M;52000;56000;55000;55000;62000;69000;76000;84000
liceo universitario;guayabera;L;62000;liceo universitario_guayabera_L;55000;60000;52800;55000;62000;69000;76000;84000
liceo universitario;guayabera;XL;62000;liceo universitario_guayabera_XL;;60000;55000;55000;62000;69000;76000;84000
