Grupo 1;Grupo 2;Grupo 3;Grupo 4;Grupo 5
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Mantenimiento producción;Tijeras;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Mantenimiento producción;manteniemiento equipos computo;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Infraestructura producción;Vigilancia;;
GASTOS CASA/PERSONALES;GASTOS CASA/PERSONALES;GASTOS CASA/PERSONALES;;
GASTOS NO OPERACIONALES;Financieros;Cuotas créditos;;
GASTOS NO OPERACIONALES;Extraordinarios;Demandas;;
GASTOS NO OPERACIONALES;Financieros;GMF 4x1000;;
GASTOS NO OPERACIONALES;Financieros;Intereses bancarios;;
GASTOS NO OPERACIONALES;Tributarios especiales;Intereses tributarios;;
GASTOS NO OPERACIONALES;Financieros;Manejo bancario;;
GASTOS NO OPERACIONALES;Financieros;Mora;;
GASTOS NO OPERACIONALES;Extraordinarios;Multas;;
GASTOS NO OPERACIONALES;Extraordinarios;Pérdidas extraordinarias;;
GASTOS NO OPERACIONALES;Extraordinarios;Robos;;
GASTOS NO OPERACIONALES;Extraordinarios;Sanciones;;
GASTOS NO OPERACIONALES;GASTOS CASA/PERSONALES;Funeraria los olivos;;
GASTOS NO OPERACIONALES;Tributarios especiales;Sanciones DIAN;;
GASTOS OPERACIONALES;Honorarios;Abogado;;
GASTOS OPERACIONALES;Software y tecnología;Adobe;;
GASTOS OPERACIONALES;Honorarios;Asesorías;;
GASTOS OPERACIONALES;Nómina administrativa;Auxiliar administrativa;;
GASTOS OPERACIONALES;Software y tecnología;Canva;;
GASTOS OPERACIONALES;Papelería y oficina;Carpetas;;
GASTOS OPERACIONALES;Software y tecnología;Chat GPT;;
GASTOS OPERACIONALES;Honorarios;Consultorías;;
GASTOS OPERACIONALES;Honorarios;Contador;;
GASTOS OPERACIONALES;Software y tecnología;Dominio web;;
GASTOS OPERACIONALES;Software y tecnología;Excel 365;;
GASTOS OPERACIONALES;Papelería y oficina;Facturación;;
GASTOS OPERACIONALES;Nómina administrativa;Gerencia;;
GASTOS OPERACIONALES;Software y tecnología;Google Workspace;;
GASTOS OPERACIONALES;Papelería y oficina;hojas;;
GASTOS OPERACIONALES;Software y tecnología;Hosting;;
GASTOS OPERACIONALES;Papelería y oficina;Lapiceros;;
GASTOS OPERACIONALES;COMERCIAL / VENTAS;Nómina Yaneth;;
GASTOS OPERACIONALES;COMERCIAL / VENTAS;Nómina AUXILIAR ventas;;
GASTOS OPERACIONALES;Software y tecnología;Página web;;
GASTOS OPERACIONALES;Comunicación Celular;Plan celular clelia/juan;;
GASTOS OPERACIONALES;Nómina administrativa;Recursos humanos;;
GASTOS OPERACIONALES;Bienestar administrativo;Refrigerios y bienestar comercial;;
GASTOS OPERACIONALES;Nómina administrativa;Secretaria;;
GASTOS OPERACIONALES;Software y tecnología;Sistema contable;;
GASTOS OPERACIONALES;Papelería y oficina;Tinta impresora;;
INVERSIONES Y ACTIVOS;Maquinaria;Bordadora;;
INVERSIONES Y ACTIVOS;Muebles y equipos;Cámaras;;
INVERSIONES Y ACTIVOS;Vehículos;Carro empresa;;
INVERSIONES Y ACTIVOS;Muebles y equipos;Celulares empresa;;
INVERSIONES Y ACTIVOS;Muebles y equipos;Computadores;;
INVERSIONES Y ACTIVOS;Muebles y equipos;Escritorios;;
INVERSIONES Y ACTIVOS;Maquinaria;Fileteadora;;
INVERSIONES Y ACTIVOS;Maquinaria;Cortadora circular;;
INVERSIONES Y ACTIVOS;Maquinaria;Máquina plana;;
INVERSIONES Y ACTIVOS;Vehículos;Moto empresa;;
INVERSIONES Y ACTIVOS;Maquinaria;Plotter;;
INVERSIONES Y ACTIVOS;Muebles y equipos;Sillas;;
INVERSIONES Y ACTIVOS;Maquinaria;Sublimadora;;
LOGÍSTICA Y TRANSPORTE;Vehículos;ACPM;;
LOGÍSTICA Y TRANSPORTE;Distribución;Domicilios entrega almacen;;
LOGÍSTICA Y TRANSPORTE;Distribución;Domicilios mandados taller;;
LOGÍSTICA Y TRANSPORTE;Distribución;Envíos;;
LOGÍSTICA Y TRANSPORTE;Distribución;Fletes;;
LOGÍSTICA Y TRANSPORTE;Vehículos;Gasolina;;
LOGÍSTICA Y TRANSPORTE;Vehículos;Impuestos vehículo;;
LOGÍSTICA Y TRANSPORTE;Vehículos;Lavado carro;;
LOGÍSTICA Y TRANSPORTE;Vehículos;Llantas;;
LOGÍSTICA Y TRANSPORTE;Vehículos;Mantenimiento carro;;
LOGÍSTICA Y TRANSPORTE;Vehículos;Parqueaderos;;
LOGÍSTICA Y TRANSPORTE;Distribución;Peajes;;
LOGÍSTICA Y TRANSPORTE;Vehículos;Seguro vehículo;;
LOGÍSTICA Y TRANSPORTE;Vehículos;SOAT;;
LOGÍSTICA Y TRANSPORTE;Vehículos;Tecnomecánica;;
LOGÍSTICA Y TRANSPORTE;Distribución;Transportadoras;;
